hour,day,month,weekday,counter
0,1,10,6,14
0,1,11,2,53
0,1,11,3,78
0,1,11,4,3
0,1,12,4,40
0,1,12,5,35
0,1,12,6,4
0,2,1,1,78
0,2,1,2,9
0,2,1,6,18
0,2,2,2,24
0,2,2,4,54
0,2,2,5,4
0,2,3,3,21
0,2,3,5,3
0,2,4,0,10
0,2,4,1,7
0,2,4,6,15
0,2,5,2,46
0,2,5,3,9
0,2,6,5,47
0,2,6,6,7
0,2,7,0,113
0,2,7,1,10
0,2,7,6,20
0,2,8,2,21
0,2,8,3,58
0,2,9,5,46
0,2,9,6,58
0,2,10,0,16
0,2,11,3,17
0,2,11,5,4
0,2,12,0,2
0,2,12,5,2
0,2,12,6,39
0,3,1,0,30
0,3,1,2,72
0,3,1,3,1
0,3,2,3,17
0,3,2,5,57
0,3,2,6,1
0,3,3,4,32
0,3,3,5,3
0,3,3,6,1
0,3,4,1,10
0,3,5,3,83
0,3,5,4,1
0,3,5,5,4
0,3,6,0,3
0,3,6,5,42
0,3,6,6,100
0,3,7,0,10
0,3,7,1,88
0,3,7,2,7
0,3,8,3,53
0,3,8,4,76
0,3,8,5,9
0,3,9,0,101
0,3,9,6,35
0,3,10,1,23
0,3,10,2,1
0,3,10,3,1
0,3,11,2,2
0,3,11,5,3
0,3,11,6,1
0,3,12,0,125
0,3,12,1,10
0,4,1,3,3
0,4,1,4,1
0,4,2,3,5
0,4,2,6,52
0,4,3,0,4
0,4,3,5,19
0,4,3,6,46
0,4,4,1,8
0,4,4,2,46
0,4,4,3,5
0,4,5,1,3
0,4,5,3,28
0,4,5,4,47
0,4,5,5,4
0,4,6,0,21
0,4,6,1,1
0,4,6,6,9
0,4,7,2,5
0,4,8,5,3
0,4,8,6,2
0,4,9,1,26
0,4,9,2,4
0,4,10,2,6
0,4,10,3,88
0,4,10,4,2
0,4,11,0,3
0,4,11,5,13
0,4,11,6,44
0,4,12,0,13
0,4,12,1,31
0,5,1,2,4
0,5,1,4,82
0,5,2,0,68
0,5,3,0,20
0,5,3,1,3
